,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_congested_time,mean_p_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_congested_time,mean_p_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_congested_time,mean_p_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_congested_time,mean_p_time
0,383.3980595833578,204.99999999999997,8.354191803306033,596.7522513866637,0.18759626994014228,5.337381369226562,65.45048096874802,32.34525098733111,48.410567209487596,42,38,0.7164239490080574,0.18759626994013875,169.5728643300094,155.0,277.39244805272375,601.9653123827331,0.1390596107619826,4.585949533433384,53.045518916349735,27.32817019267873,45.49228777619965,69,17,0.49852944430187807,0.14160269959677596,243.67564369115212,176.0,87.01897505342401,506.6946187445762,0.16696405945451298,4.748409959774735,59.65722681914089,36.17310133617221,48.813446947889354,78,36,0.7379546411047534,0.16808074776008308,,,,,,,,,,,,,
1,356.46617382296506,202.0,8.354191803306033,566.820365626271,0.18759626994014228,5.298873720245572,65.32734664366436,30.38205267242281,49.4839691001374,51,37,0.915954610773289,0.18759626994013898,315.27562293191374,115.99999999999999,378.215476279322,809.4910992112357,0.12425742859880853,5.278707327323675,61.9280744542525,19.776185140275256,47.91582454616746,33,23,0.6536761339963649,0.12738965682580844,181.19392645589173,184.0,35.79333758714677,400.98726404303846,0.17753802762972365,4.4392149063633095,54.713762705244875,32.70328429186717,46.660699307205235,43,36,0.6164469368610759,0.1785072586882578,,,,,,,,,,,,,
2,136.29154410773188,206.0,8.238802413757607,350.53034652148943,0.18759626994014225,4.319642737805952,53.245079586248,31.62930889497589,47.18376962933347,52,32,0.5890001466184949,0.1875962699401387,153.4478474562141,138.0,331.40781261661095,622.855660072825,0.1319916811955301,4.4993341081236915,53.29218300122981,23.26931072574932,46.471063493133244,52,26,0.5536052800911994,0.13661198986748777,170.9840526212727,162.0,23.57344020106521,356.55749282233785,0.18077965336569418,4.7511706347419125,54.16905591329149,28.226696220299928,46.569764685679395,35,29,0.56186470692468,0.18101587221050539,,,,,,,,,,,,,
3,588.5154823751132,202.0,8.284958169576978,798.8004405446901,0.18759626994014225,6.135391532267237,76.15814432948439,29.93299346488189,50.0,65,27,0.9997830474107374,0.18759626994013898,267.91243478961155,130.0,409.5693163858957,807.4817511755074,0.12173745075082767,4.868087171533768,59.5016129516375,22.541018632253767,47.59439362765481,29,25,0.6972662658286897,0.12518758019384094,354.8036370846027,193.0,77.76168265930494,625.5653197439077,0.1658597172356562,5.398369615498108,64.94540174313511,31.628579753238117,49.17635120604179,37,31,0.8725542335,0.16604215943870496,,,,,,,,,,,,,
4,248.01434427444343,186.0,8.00033100869086,442.0146752831343,0.1875962699401422,4.861011768396763,59.112216090149104,30.239331540539837,48.07797883575325,71,29,0.6776467495858391,0.18759626994013937,77.25277827966327,152.0,237.90787468074993,467.1606529604132,0.14826217564971142,4.092085023295848,48.30244741495644,26.10372547405969,44.86899060252702,39,24,0.35625698754034607,0.153820459190017,122.89040808470845,183.0,24.22544954798072,330.1158576326892,0.18056549756763016,4.515645894461094,52.97429749488556,34.30397378780802,47.494746734425846,60,28,0.601136538341965,0.18096583440766165,,,,,,,,,,,,,
5,618.251386317285,199.0,8.423425437035089,825.6748117543202,0.1875962699401423,6.206897771806685,76.59309084586982,35.77575456114891,49.11525145399042,36,43,0.8960739263935995,0.18759626994013867,143.7591863883599,146.0,365.0693370739438,654.8285234623038,0.12762715218130896,4.34814640396648,53.53425711062128,22.00856304602346,47.14329672914647,60,22,0.6017729204612168,0.13211879627237041,331.467170896221,196.0,73.38881464561348,600.8559855418345,0.16906517148038447,5.006096211903632,63.32370872940285,28.04694229283749,48.590948821311606,60,27,0.7901809206417578,0.16974794109385602,,,,,,,,,,,,,
6,108.82810805971236,183.0,7.692625969895057,299.5207340296074,0.1875962699401421,4.306776907325364,49.782634380095814,30.63305267894676,44.937350201816315,60,29,0.4151424722470912,0.18759626994013898,102.68690146522329,152.0,209.2078870935758,463.89478855879906,0.1525062852138757,4.169862223547867,48.50253509883787,26.578132350079937,43.938672811494726,44,32,0.33965647787368247,0.15576090343195284,134.3343349704763,196.0,32.93530396944953,363.26963893992587,0.17836264481484704,4.378409217223595,52.29741011624237,33.77807728436069,46.32109418967468,64,32,0.5359072726055177,0.17915652657285044,,,,,,,,,,,,,
7,253.97801455893335,191.0,8.184954031968342,453.16296859090164,0.18759626994014225,4.852825542507731,59.019046036591114,29.74173127345352,47.72922045699706,54,23,0.702896974682353,0.1875962699401387,75.78554359894157,164.0,217.31558385715434,457.1011274560959,0.15217437201001704,3.996699916954162,47.57845582434254,28.870775874035466,44.21020944216736,33,29,0.3353462903827191,0.15592219774485183,240.23361775172262,157.0,47.17668928806922,444.41030703979186,0.17344660946087992,4.988210246572703,57.42396802108296,29.168797145639385,46.74243356916777,57,29,0.651858564530087,0.1746715154271259,,,,,,,,,,,,,
8,166.99381601364206,182.0,8.115720398239286,357.1095364118813,0.18759626994014222,4.581968980702106,55.09187295350028,29.34699955351736,47.66992557511614,45,29,0.6492702888395413,0.18759626994013903,60.446303248587526,153.0,232.77710003926168,446.22340328784924,0.14807850551502275,4.047915067083773,47.270384363228146,24.727803921761737,44.583881996624264,48,21,0.3397287327839918,0.15348316983903587,42.555228804073096,172.0,10.58401981263389,225.13924861670696,0.18604697775037915,3.888087534043441,44.926616852514854,28.301758718254344,43.03527335011158,33,32,0.27590365230047265,0.18640800177901984,,,,,,,,,,,,,
9,893.6199387596939,206.0,8.138798276148972,1107.7587370358428,0.18759626994014222,7.297155846892438,89.72157716581606,34.890536465313076,50.0,84,33,1.0,0.18759626994013875,60.41271530526918,152.0,209.754022161352,422.1667374666212,0.15024972746566034,4.246250002854994,46.78447331993737,22.676964856202588,44.09946375081433,39,15,0.327390416321214,0.1555735216322861,188.5490351610162,192.0,27.64022233188246,408.1892574928987,0.17937122446740325,4.592347216627695,54.101720660817,30.75168977548494,45.72176354254957,42,38,0.5649597979803659,0.179539480353261,,,,,,,,,,,,,
