2021-11-09_04-09-54,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 2500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_04-37-32,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 3000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_04-37-48,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 500, 'h': 2500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_04-52-08,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 3000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_05-08-00,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 3000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_05-35-26,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 500, 'h': 3000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 1}
2021-11-09_08-57-41,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 2}
2021-11-09_09-12-59,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 2}
2021-11-09_09-29-41,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 2}
2021-11-09_09-33-55,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 500, 'h': 500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 2}
2021-11-09_09-57-23,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 1000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 2}
2021-11-09_10-12-28,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 1000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 2}
2021-11-09_10-28-55,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 1000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 2}
2021-11-09_10-38-06,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 500, 'h': 1000, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 2}
2021-11-09_10-56-30,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 1500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 2}
2021-11-09_11-11-27,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 5000, 'h': 1500, 'M': 1110, 'lambda': 6.212410714285715, 'fluctuation': 0.8, 'period': 1, 'stream': 2}
