,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time
0,17131.61890433611,640000.0,72.54358671950239,657204.1624910557,0.14099358220137637,5.287197554196805,36.83450540901701,15.974750832776724,36.739329748437385,38,8,0.045416241965158456,0.14099358220137825,302537.5685232748,585000.0,388533.95657250384,1276071.5250957785,0.10797824608426732,5.897518210896697,43.28787492560142,15.220494405870664,41.60711065602764,40,5,0.4015580155086477,0.11195340584273716,585058.5285196156,685000.0,235363.33618518698,1505421.8647048026,0.12099631682940638,5.8317184223804945,43.38863137486741,19.44271928126916,40.136703540697305,56,13,0.3884951671382948,0.12104519355773938,,,,,,,,,,,,,
1,492038.94019679644,715000.0,81.09209448350224,1207120.03229128,0.14099358220137623,5.61793327394975,43.53915682387297,19.049268116901732,40.80560715611295,32,10,0.45310846823715517,0.14099358220137848,176098.74076701642,650000.0,215391.64723440626,1041490.3880014226,0.12248999722988711,5.396688778209616,39.53232384425046,16.272228366700745,38.55236565781491,58,6,0.2194447360671079,0.12545468484128106,53069.19434225722,695000.0,81088.77099087836,829157.9653331356,0.13411903169494674,5.247886376627401,38.4376380950455,20.34277655062571,38.14269241200803,47,16,0.09803629916227341,0.13364652728503562,,,,,,,,,,,,,
2,3670176.5719696605,775000.0,79.31115536600227,4445255.883125026,0.14099358220137626,8.322125383882987,62.93980302645055,20.855912328033448,42.549933182174705,44,11,0.6965322093611196,0.1409935822013785,884164.9052383418,630000.0,418501.225799191,1932666.131037533,0.10565361268587845,6.189132065564437,45.33539893031253,18.76877672493512,40.42337167898839,40,7,0.49147273200625813,0.10877346519578392,167681.8191273652,635000.0,79980.07701289788,882661.8961402632,0.13429729084324998,5.3418419823019425,40.08102159186783,16.694758107851648,39.135141925617965,62,12,0.16397239250705833,0.1328735221519921,,,,,,,,,,,,,
3,570941.2583340168,720000.0,81.92319940500222,1291023.1815334219,0.1409935822013762,5.6214996524773975,45.016926029027445,17.845669353257577,41.84175052756731,55,12,0.46294441669542535,0.14099358220137836,559556.2721767265,605000.0,415172.5318212103,1579728.8039979367,0.10636765667156994,6.022807121984076,44.94961436879366,14.820025011408026,41.8409684122563,36,8,0.49028624352777156,0.1094261396223482,423545.7894484141,670000.0,135481.62049345858,1229027.4099418726,0.12990404418562748,5.634298833399176,42.809206770764895,16.83210902254712,40.456174607162545,44,14,0.331065263680414,0.12853235435445767,,,,,,,,,,,,,
4,1048108.8830272831,650000.0,77.4114869740023,1698186.294514257,0.14099358220137628,5.888731241074613,44.922667330622964,16.12390909477539,39.099196117761906,55,7,0.4176753336807313,0.14099358220137842,325699.9005175497,580000.0,175433.78436134377,1081133.6848788934,0.1254796935142773,5.630545419683624,39.10028569441526,17.32705884669904,37.29084180265111,34,18,0.17796662678034764,0.12790761935867426,371140.11466672656,675000.0,121048.88972015285,1167189.0043868795,0.13082397631708,5.761191650547288,43.17498781042384,20.488716704588548,41.11184241147371,49,17,0.4509747024780974,0.13027620654702438,,,,,,,,,,,,,
5,793249.5857191109,710000.0,78.95496754250227,1503328.5406866535,0.14099358220137626,6.001619277470644,47.20424877073792,18.158789464040957,42.791806304051335,67,8,0.5931152708644976,0.1409935822013785,327953.78191056516,620000.0,293082.3863509931,1241036.1682615583,0.11548906416407644,5.77397584507699,41.205361706017555,17.115210211276136,39.38339625095889,43,16,0.3291587799830754,0.11958162552527768,861214.8276346816,635000.0,228701.5552460703,1724916.382880752,0.12128349883649352,6.198415597756868,45.38622249091916,17.4351982989078,40.58604584230076,53,10,0.47488757098127127,0.1209020623724231,,,,,,,,,,,,,
6,351460.7030834467,635000.0,74.56198438600235,986535.2650678328,0.1409935822013763,5.974092835502225,42.49856680781223,16.102020351458496,40.54600734623751,32,13,0.32852312093808034,0.14099358220137814,2182818.7481951443,640000.0,533934.4582305447,3356753.206425689,0.09898934197013633,6.943262776107856,54.347386750463286,17.98566143178411,42.220615927156814,39,14,0.6025245421908061,0.10259192505662987,94663.0232117828,595000.0,125486.99005176083,815150.0132635436,0.13046726623705035,5.303462090951873,39.218799577361104,16.794030611022297,38.691877997254394,48,15,0.1622906833956114,0.12980655737325375,,,,,,,,,,,,,
7,1244581.4767294158,680000.0,75.39308930750234,1924656.869818723,0.1409935822013763,6.435947585483003,48.098353071397774,18.721607462531974,41.1775014418871,60,17,0.5275481144995655,0.1409935822013782,742689.5465429066,550000.0,359677.39972146385,1652366.9462643706,0.11057430108518597,6.131396693822648,44.46331573129897,13.937130330490376,40.33726269494942,33,8,0.3827403143618239,0.11479193055522209,465577.7165563431,655000.0,172109.60209579315,1292687.3186521363,0.12784127053053831,5.260643773412729,43.0512027445435,18.26582891828735,40.4629603823254,53,6,0.3578855502701654,0.1268010541528492,,,,,,,,,,,,,
8,1705481.1815325946,755000.0,76.22419422900232,2460557.4057268235,0.14099358220137628,6.89324247404611,50.41881170053967,18.46728062465057,40.943768918751395,50,12,0.490463562661966,0.1409935822013786,186646.374026512,675000.0,210956.51513466242,1072602.8891611744,0.12387829598777116,5.276742133957569,40.56297803677672,16.84864843057037,39.526053736629414,45,7,0.20854425942492028,0.12644658419947535,69029.43592566515,525000.0,63328.177344505835,657357.613270171,0.13505704041436525,5.453148033510127,36.36303153469409,16.44927174958069,35.9795346684404,38,15,0.08357328292413453,0.1341485578888086,,,,,,,,,,,,,
9,203314.5667920318,695000.0,78.24259189550229,898392.8093839273,0.14099358220137626,5.509076920005265,41.37708270063937,18.765548512173392,40.24755732957254,33,13,0.28675766302755473,0.1409935822013783,335037.36226516485,680000.0,325275.11712430656,1340312.4793894715,0.11487453378383827,5.5130574836409725,42.639704406628375,18.497027058063416,40.77816999865175,46,9,0.33364468363848787,0.11818097546291036,720688.8366996786,570000.0,233146.30441704957,1523835.141116728,0.12130858915396323,6.129705587844911,44.50711599856907,15.381912058027966,40.503289128015304,40,10,0.36105127026394673,0.12181209097710505,,,,,,,,,,,,,
