,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time
0,1708718.4061903036,675000.0,78.00513334650229,2383796.4113236503,0.14099358220137626,7.255622243451279,53.89563136625468,16.64918193219223,41.23845798706727,40,10,0.5149289806486664,0.14099358220137836,683765.1849675684,640000.0,367450.13049477804,1691215.3154623467,0.11131065887005297,5.874012455056768,45.173597093961355,17.886261944367384,40.10866979790527,37,10,0.43797331951475427,0.11439133695408646,538365.0320382218,725000.0,148793.78436134668,1412158.8163995685,0.12872075227057025,6.0605600915588225,45.45774243283054,20.451720729837742,41.4698533066215,38,21,0.45207513370974384,0.12768229470927472,,,,,,,,,,,,,
1,714223.1429135363,715000.0,80.85463593450224,1429303.9975494707,0.14099358220137623,5.872391245453824,45.22448761472124,19.946168574197035,39.93394581536174,34,13,0.5498410131464142,0.1409935822013785,109985.08909474235,665000.0,215399.83955434477,990384.9286490871,0.1243191481797905,4.953861942420401,39.34499030511351,17.490845203554706,38.53028594144875,34,11,0.204409335960159,0.12702323155082873,870960.5788620444,650000.0,243140.3412123836,1764100.920074428,0.12186940153330905,6.134991401460463,47.95445072720265,18.718464882723225,41.50289088378002,35,20,0.5286419761636051,0.12022707349906607,,,,,,,,,,,,,
2,87231.67098411218,635000.0,73.25596236650237,722304.9269464787,0.14099358220137634,5.541035586621241,39.42132675018122,17.866701651835434,38.775166224372995,38,17,0.15494204792586802,0.14099358220137842,415088.4178360075,615000.0,396306.21242871985,1426394.6302647274,0.10864054769096694,5.79487709073719,44.26291016861207,17.026336266340017,41.1881811476046,44,14,0.4321145936730175,0.1113441318305552,779325.2088201232,665000.0,226491.17231730433,1670816.3811374276,0.12247841744144158,6.1471875239358456,46.59240116230867,17.032810890330047,40.818525259046616,47,11,0.4812618327902334,0.12383609475819096,,,,,,,,,,,,,
3,1835270.8194541337,650000.0,78.71750899350228,2485349.536963127,0.14099358220137626,7.288703923502946,56.91143267712518,19.248484572544555,43.2907891832427,63,15,0.8098120169740496,0.14099358220137834,150192.259015669,640000.0,300856.066958502,1091048.325974171,0.11632247328396725,5.219763367322845,40.32273281453038,18.057972885679682,39.206599947794956,50,6,0.2821237050938015,0.12006282421083421,953636.7199943973,630000.0,274210.01176550135,1857846.7317598984,0.11791251900601783,6.6391050958499225,48.486559379963154,16.865864574013358,41.42258367630102,35,9,0.5388964071556959,0.11734725537804347,,,,,,,,,,,,,
4,219862.02835488538,655000.0,77.6489455230023,874939.6773004084,0.14099358220137628,5.466180377021142,41.56027803586859,18.28031870297949,39.92738381756291,48,13,0.3402150603447734,0.14099358220137848,494874.7102752984,600000.0,344140.72414115013,1439015.4344164487,0.11251270856825746,5.771178413050213,43.286710064683646,17.324407720319584,39.62097147005185,43,10,0.38561230275929187,0.11628400205965087,922769.33690774,620000.0,271993.57364373625,1814762.9105514768,0.11841573681705808,6.378993618275569,49.11998424969566,16.938524381555414,42.27597697363046,62,11,0.5384692612815095,0.1195707414578111,,,,,,,,,,,,,
5,228543.34122685555,610000.0,75.74927713100233,838619.0905039866,0.1409935822013763,5.621480446563273,41.00834673689477,16.415266606832088,39.31543309817732,40,9,0.3259411060764348,0.14099358220137834,498201.03685462725,645000.0,300854.0485608349,1444055.0854154623,0.11566918846839652,5.970943540650915,43.678003018564006,16.85519521711066,39.98762496778901,41,9,0.32034237970132357,0.11974484698482982,417989.041421611,630000.0,168771.4097758522,1216760.451197463,0.12709332483718846,6.048007851624085,45.231439392936494,17.2566088495819,42.135224271294916,36,14,0.4850170285637004,0.12716864136162684,,,,,,,,,,,,,
6,1170256.9815829813,710000.0,80.73590666000224,1880337.7174896414,0.14099358220137623,6.6698465694572215,52.09288779961071,20.0682135343286,43.424317565662754,45,17,0.7461752039794304,0.1409935822013784,399058.2665046759,650000.0,335264.6422072077,1384322.9087118835,0.11427077715002538,5.515255137432746,42.52550551589935,17.932192187768845,39.56951835660547,37,18,0.37378234385141496,0.11653940506273046,152490.09427660692,625000.0,51128.388062112994,828618.4823387199,0.136780615798462,5.6459495544511515,42.36918235910029,18.734640972611874,41.23813430877108,48,15,0.3267819052463088,0.13561750036255982,,,,,,,,,,,,,
7,656921.439254062,700000.0,79.07369681700227,1357000.512950879,0.14099358220137626,6.175154678017409,46.809800346129386,16.373354498342017,41.94371561091411,41,11,0.5229109042324197,0.14099358220137842,642679.9742705559,605000.0,351907.75590928865,1599587.7301798444,0.11104403014179239,6.359325427426935,45.69348736155989,16.909514485273696,40.93289495955581,31,10,0.43017161099251977,0.11357759376352594,583808.7226148231,650000.0,159896.8713224809,1393705.593937304,0.12782458212569978,6.028689408909776,45.47802806949467,17.66065398873861,41.15351901308853,44,14,0.5674367357196292,0.1290910915371167,,,,,,,,,,,,,
8,979300.5981561275,715000.0,80.02353101300226,1694380.6216871405,0.14099358220137623,6.595286545511857,50.681158609409984,17.713448704959944,43.42708010454972,38,8,0.7581950360938348,0.14099358220137817,1102488.5432369518,660000.0,558352.3211036043,2320840.864340556,0.09732242178561384,6.556823117560076,51.38073473558885,18.412847591440155,43.214152933833724,34,13,0.6748341672696949,0.0987873814277343,319341.01556301635,670000.0,166552.12215149903,1155893.1377145154,0.12710676325062337,5.582630855046725,41.623484042748316,19.772520130132875,39.25200996180116,49,19,0.2839738192646004,0.1262375248950484,,,,,,,,,,,,,
9,103252.11337584301,710000.0,77.4114869740023,813329.524862817,0.14099358220137628,5.232520697185339,39.28349149981968,20.228580976294488,38.51866103036901,39,9,0.1814274293555546,0.14099358220137834,13372.838070062116,620000.0,66663.16397403475,700036.0020440968,0.13491315157285855,5.33193051782182,36.04844854139028,17.892022433622685,35.949390481612035,34,12,0.045497193313103604,0.13672981802062786,758186.1685589264,675000.0,246465.94822922567,1679652.1167881517,0.12140811222343002,6.16755833428199,48.13634104763704,18.58505406454394,42.52014720645967,45,13,0.6086114979383622,0.12138364741938847,,,,,,,,,,,,,
