,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time
0,2835220.3387109255,10050000.0,1640.9573028648565,12886861.296013791,0.1409935822014056,5.722824980972847,39.29862930230086,12.17329537938976,38.35355585606406,36,6,0.1812906684962618,0.14099358220137798,2862159.917605219,8595000.0,3716392.792798977,15173552.710404197,0.12627875590591786,5.761227683059329,39.68482321732065,10.471621868509716,38.730769911452235,45,12,0.17716760149118488,0.12817716636229534,4557251.991950822,9935000.0,988344.759849435,15480596.751800256,0.13718971249749332,5.803440214376197,41.130766990641064,11.867418749119524,39.61124483595916,53,12,0.2644118024755352,0.13767000605491125,2091104.3644759466,9460000.0,1824044.6325645782,13375148.997040523,0.13379945905459806,5.751698247752691,39.13357790035042,11.547337891868093,38.43654311219178,35,17,0.1543509545044212,0.13499087253954023
1,1654767.2409087091,9670000.0,1616.2616137688397,11326383.502522478,0.1409935822014054,5.679878987973703,38.24370631032503,11.92117384522293,37.69177115440928,52,16,0.12260158026306804,0.14099358220137773,3316204.7931630136,8850000.0,4270206.687333789,16436411.480496801,0.12390713987714543,5.8230768133744855,39.74206514653542,10.647038106697282,38.63666354881433,36,6,0.20189342988638134,0.1263872492962663,3222089.666418202,8980000.0,791846.6210113869,12993936.28742959,0.13785136677546395,5.804362693191622,39.44896371918006,10.82894263396993,38.3748825203033,48,13,0.18001491475915385,0.13840316171338557,3203426.09887757,9705000.0,2114837.9184778854,15023264.017355453,0.13266249265839353,5.808953448834175,39.40195876569711,11.531464262813145,38.33415006607135,28,10,0.17763050951017953,0.13395860940417614
2,2613056.879150531,9900000.0,1635.6144855123532,12514692.493636042,0.14099358220140557,5.721052944875652,39.262027736880604,12.079508353955609,38.390768073118764,60,11,0.16546036835655695,0.1409935822013778,1753322.5812029864,8535000.0,2812918.9250044497,13101241.506207436,0.1296436872341737,5.717505467842246,37.99482666392102,10.174408257058866,37.41038580352001,38,9,0.12951466980448686,0.1316331846827499,5785533.23713376,9470000.0,1304629.3400191877,16560162.577152947,0.1358671297135447,5.811123500674385,40.64860221741724,11.388657572369556,38.719592649904136,52,12,0.23359699993509608,0.13643603693720133,2747829.607854188,9120000.0,1957224.2111293736,13825053.818983562,0.13323516306025077,5.685113847148172,38.890049800353054,10.854896548592677,37.97410659773511,42,10,0.1518041256532306,0.13454903267078558
3,3207759.221462721,9790000.0,1625.2850386308455,12999384.506501352,0.14099358220140548,5.6904232650861335,38.92402645792165,12.057417509694316,37.85477338410058,43,12,0.18606214106767244,0.14099358220137811,2596743.6170873255,8880000.0,3638695.0486552,15115438.665742524,0.12653245907716104,5.704586438007244,39.14661470185367,10.478810343464493,38.27901727296382,70,13,0.17089191813641524,0.12873294317215128,3589421.6665106164,9565000.0,880637.3601279597,14035059.026638575,0.13749598678939523,5.793918196679565,39.13527799963233,11.56583131826869,37.93880411079534,42,11,0.1803919514952621,0.13792689467029187,2336029.8393069855,9065000.0,1701938.696100865,13102968.53540785,0.134191986511105,5.726976359211638,38.53523211237025,10.85013248537289,37.75652948517161,50,8,0.14773801565319036,0.13520249348719632
4,3432858.8880997566,9660000.0,1631.10277308135,13094489.990872838,0.1409935822014055,5.810253718797859,39.49933458039815,11.636896803888504,38.35503304294268,46,17,0.1904889853998477,0.14099358220137845,2824641.4922113647,8685000.0,3130345.443349292,14639986.935560655,0.12836594774864252,5.725748245455577,38.71397348951046,10.075425494509261,37.77242632544001,36,11,0.14551892319133627,0.13048962809904208,2657625.263131124,9700000.0,542150.7615605437,12899776.024691667,0.13887841550926563,5.701475731293606,39.70690554452364,11.720801677779408,38.821030456813325,38,14,0.18347093636748046,0.13922447261206333,1659416.2442108993,8995000.0,1497721.1359337275,12152137.380144626,0.13501066070582549,5.638490565660582,37.8394867263103,11.108879279541943,37.286347978240016,41,12,0.11526188844958188,0.13620190528175025
5,2193632.2871242296,9285000.0,1599.1645982408274,11480231.451722471,0.1409935822014053,5.761173365800759,38.59537133377627,11.355726591764364,37.86416057140171,37,11,0.14417947388774166,0.14099358220137845,2640402.1262854952,8880000.0,3598749.771085129,15119151.897370625,0.1267833066832528,5.668788239323192,38.95973721041429,10.630608627591467,38.079603168319295,36,10,0.16560500690366484,0.1290602897582893,2984705.4730257094,9495000.0,586532.3585229974,13066237.831548708,0.1386851305628126,5.764577160080415,39.61184982553779,11.4251864383171,38.6169480011959,34,7,0.2010099462081507,0.13907517167111372,5115504.210290463,8880000.0,2642022.3799188826,16637526.590209344,0.13053144549656295,5.837728250964285,40.28396267380509,10.740649827578867,38.57879460370802,37,9,0.21359266692268375,0.13161419420884024
6,5737470.265381801,10220000.0,1660.7850917063708,15959131.050473507,0.14099358220140573,5.815452578741804,40.77922551065794,12.294109381846264,38.866684303969144,48,11,0.2444437500178043,0.14099358220137823,1806360.1145379685,9010000.0,3178117.8297005594,13994477.944238527,0.12854512049905636,5.690547736801285,38.87958161255241,10.714343957232163,38.27746157437308,40,5,0.14170640140235502,0.13041036567699127,3584421.6368684624,9380000.0,826262.4387458176,13790684.075614281,0.13773278459937907,5.777031689880483,39.43932064231997,11.415892951829978,38.24451343003053,42,9,0.19130867322454093,0.13829009828126212,3662389.2924252306,9180000.0,2396742.062237053,15239131.354662284,0.13152000402564137,5.761620597626551,39.58165487595476,11.328986449479931,38.3608529036476,46,13,0.18570210067506082,0.13298980313909053
7,3565742.2865074724,9420000.0,1623.6228287878448,12987365.90933626,0.14099358220140545,5.853885018956725,39.44901040926614,11.401435031630335,38.260429647096984,42,14,0.1866670025158169,0.14099358220137873,2553297.662740021,8870000.0,3662001.249318787,15085298.912058808,0.12642800254148998,5.758662380094514,39.36657679193317,10.690569376424923,38.515477571019915,33,9,0.1649026482484803,0.12858715334282517,5562457.878900609,9770000.0,1295763.468802848,16628221.347703455,0.13594505856064734,5.8944046089170286,41.16339963537834,11.726899544030783,39.30924700907834,35,13,0.25776049671784007,0.13641346054399323,2310904.497786811,9125000.0,1840684.8967640805,13276589.394550893,0.13369321576662047,5.702689222722661,38.45629170244678,10.818484021402913,37.68599020318456,28,5,0.14809171134487348,0.13480064589554988
8,3758390.298631214,9810000.0,1633.8335463948517,13570024.13217761,0.14099358220140554,5.887977578434141,39.93329544877594,11.719976894095083,38.68049868256553,40,17,0.19869546284338135,0.14099358220137848,2898221.143680814,8880000.0,3731949.5336267874,15510170.677307604,0.12638316050884305,5.732091488298339,39.27046586860408,10.697680753921563,38.30439215404375,38,14,0.17492080061849674,0.12849170228858656,3571962.010583542,9475000.0,763002.0558170835,13809964.066400623,0.13798799719797125,5.789692549542908,39.81397553789096,11.818138689579612,38.623321534363015,42,11,0.19994258598370604,0.13849609297253035,2956892.5151158744,9100000.0,1860632.127484312,13917524.642600186,0.1334685704962175,5.732551036760149,38.6940971595885,11.039908157123296,37.70846632121664,40,13,0.16692535109902634,0.13469207978076828
9,3230588.2095354353,9760000.0,1644.044264001859,12992232.253799437,0.14099358220140562,5.783563678855479,39.967588125071984,11.61018888628836,38.89050669049188,49,11,0.19506089919025918,0.1409935822013788,4453097.107142888,8225000.0,4576542.585291325,17254639.692434214,0.12277942989718751,5.905632559811119,40.71195954100064,10.053412250876514,39.22759383861954,32,10,0.22593172870993009,0.1251524499795014,2739858.1354556093,9535000.0,513266.42205930495,12788124.557514913,0.13895758753520385,5.7703114397959565,39.06492723097675,11.287676747346115,38.15164118582497,36,11,0.16584987841268445,0.13928118579446083,2978438.109240416,9275000.0,2353455.7428448824,14606893.8520853,0.1316946219049571,5.761332693787898,39.90769265901201,11.443191471550035,38.91468740215557,50,4,0.19837547235400724,0.13302782412255518
