2023-05-01_03-00-35,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 2500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-01_03-33-05,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 3000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-01_03-45-59,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 200, 'h': 2000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-01_06-21-15,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 200, 'h': 2500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-01_08-52-38,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 200, 'h': 3000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-01_23-49-01,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_00-36-30,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 1000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_01-24-16,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 1500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_02-10-55,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 200, 'h': 500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_02-11-20,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 2000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_02-57-46,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 2500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_03-42-56,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 3000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_04-26-37,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_05-10-21,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 1000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_05-23-16,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 200, 'h': 1000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_05-53-36,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 1500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_06-36-13,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 2000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_07-17-45,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 2500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_07-58-43,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 10, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 3000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_08-34-56,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 200, 'h': 1500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_08-35-14,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_09-11-10,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 1000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_09-45-29,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 1500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_10-18-57,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 2000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_10-51-45,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 2500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_11-23-57,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 60, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 3000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_11-40-56,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 200, 'h': 2000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_14-16-51,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 200, 'h': 2500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-02_16-49-06,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 43, 'y_0': 10, 'warm_up': 2000, 'run_length': 2000, 'reps': 200, 'h': 3000, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
2023-05-03_20-51-17,{'scale': 50, 'N': 45, 'mu': 0.17857142857142858, 'nu': 0.08285004142502071, 'r': 5000.0, 'x_0': 10, 'y_0': 60, 'warm_up': 0, 'run_length': 90, 'reps': 2000, 'h': 500, 'M': 1110, 'lambda': 5.907056666666667, 'fluctuation': 0.8, 'period': 1}
