,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time
0,3349527.287268011,9365000.0,1627.3034362973472,12716154.590704309,0.14099358220140548,5.739291317748839,39.410901189859274,11.412149733210688,38.57351936804227,30,8,0.16743263177000903,0.14099358220137817,2759754.784365819,8705000.0,3215832.7778233,14680587.562189117,0.12823349009980622,5.724098820956047,38.36763437690942,10.776100837513154,37.67769568081769,37,14,0.1449207439299008,0.13029885388078188,4179841.486640299,9360000.0,1048243.9169789987,14588085.403619297,0.13686681498651224,5.712483769836639,39.30292874453041,11.003330421511945,38.25796837287029,41,11,0.1774642026058026,0.1375747638924891,3063612.1822973033,8605000.0,2720816.351466864,14389428.533764169,0.13018037562472434,5.719227293250961,38.97816889002091,10.32737321418587,38.212265844446634,28,4,0.16106103876845634,0.131915618488163
1,5008939.236037953,9535000.0,1638.8201759238552,14545578.056213876,0.14099358220140557,5.792990609166109,39.927273278938955,11.359645159924233,38.67503846992965,39,16,0.20000027687425062,0.14099358220137795,4292005.666343711,8505000.0,3400056.8028532458,16197062.469196957,0.12736494886801045,5.73694829377559,38.720095494712304,10.303167446368613,37.647094078126564,45,13,0.16348534907130716,0.12951507153300526,2489345.3096849998,9365000.0,549887.7548222997,12404233.064507298,0.13880620987360584,5.689471457603665,38.4165637181508,11.279394698083063,37.79422739072967,40,9,0.12689746174023536,0.13931833363961743,3762795.3559272997,9015000.0,2861779.1089810645,15639574.464908365,0.12965654010064853,5.730146546185631,39.446316812513494,10.920117644099115,38.50440471359823,67,6,0.168539137337689,0.13154083124245403
2,5494124.234287902,9885000.0,1642.619512707858,15380766.853800612,0.1409935822014056,5.819066874259799,40.381428608322246,11.577215467832682,39.00789754975026,33,17,0.2133382259158875,0.14099358220137806,3111635.4517439357,8545000.0,3344578.411581141,15001213.863325078,0.12771750626350553,5.678062514741737,38.72488659959916,10.558028973875466,37.94697773666312,36,15,0.15195825867956933,0.1299947463267614,5271688.317925002,8830000.0,1303502.1242743733,15405190.442199375,0.13581800586270484,5.765248658541442,39.656082864790534,10.386438492097462,38.33816078530928,31,9,0.21590659880840085,0.1365979762554279,3171639.2460434185,8650000.0,2443351.6140611833,14264990.860104602,0.1313037177726104,5.688855965128152,38.643461192136755,10.161067986450446,37.85055138062582,38,10,0.1464632333344499,0.13284756685908125
3,3517830.058252548,9530000.0,1626.8285191993466,13049456.886771746,0.14099358220140548,5.791588436080185,39.3655918561273,11.104782528402177,38.4861343415641,30,8,0.17952691742796206,0.14099358220137947,3046203.299794656,8715000.0,3336796.8948411862,15098000.194635842,0.12764637597386574,5.721497258516177,38.59520857959441,10.416631922614195,37.83365775464558,40,9,0.15426227709954027,0.12972789428827594,1963449.9169654541,9495000.0,464436.2765890537,11922886.19355451,0.13915677947143396,5.652049613978439,37.850364316298524,11.430744005551011,37.35950183705709,33,12,0.11431876669322888,0.13949794297313975,3689411.8406217988,8490000.0,2847344.0036225934,15026755.844244393,0.12966555072670632,5.741701937240228,39.43367394884471,10.155042289453727,38.51132098868929,44,14,0.16903512859841,0.13132657682933066
4,4598887.964461573,9895000.0,1654.0175230598659,14495541.981984632,0.14099358220140568,5.89797002616921,40.01329254704957,11.724159297115586,38.86349876431432,46,9,0.2136260873796234,0.14099358220137778,3429642.019783525,8720000.0,3568757.449981538,15718399.469765063,0.1266767294247911,5.798602534835347,39.26031628410136,10.525739957788721,38.40290577915561,44,11,0.16384038509033724,0.12901419291100116,8121874.9116058545,9360000.0,1806287.9569842692,19288162.868590128,0.13385703512592081,5.861902214214844,40.90033329607776,11.31525200806111,38.869864568176226,37,14,0.255069578713956,0.1347846153017405,3218251.1884703855,8965000.0,2423352.142460203,14606603.33093059,0.1312528456209318,5.8128028970999255,39.084121966956495,10.613598240067512,38.27955916983881,38,9,0.15437186674777809,0.13286287707784086
5,5262348.849290419,9755000.0,1647.012495864361,15018995.861786284,0.14099358220140565,5.721417491262133,40.12991270938162,11.958803760883304,38.81432549705873,39,12,0.20140739218488896,0.14099358220137811,2592645.3953705733,8670000.0,3387864.61224437,14650510.007614944,0.12755251748583793,5.6868632939164785,38.629353966040085,10.057077096348808,37.98119261719742,29,17,0.15109023440206248,0.12993623492835144,2189286.3720857245,9400000.0,555453.9020036263,12144740.274089351,0.13880554485871083,5.708952026968784,38.646378630967284,11.361505132835854,38.09905703794575,33,12,0.13698900791042445,0.1392540888373302,2971452.2130023967,9010000.0,2675311.9317426328,14656764.14474503,0.13035036042641882,5.773082815347388,39.006169225010694,11.110276708291524,38.26330617176004,42,13,0.16521656664771933,0.1322664773992725
6,4514950.64170139,9790000.0,1626.709789924847,14306577.351491313,0.14099358220140548,5.7542140708989065,39.69732464277997,11.595904042225659,38.56858698235466,32,16,0.20412666924983433,0.14099358220137886,2808528.265402277,8540000.0,3316829.9550618553,14665358.220464135,0.12781608164726824,5.68549959367223,38.54572588596547,10.261116360970288,37.84359381961488,42,10,0.14554476215661658,0.13028551948748002,6087223.510083837,9275000.0,1545473.219578826,16907696.729662664,0.13491690869074618,5.77019761106564,40.142070151323615,11.221493926460237,38.62026427380256,36,12,0.22008150934882792,0.13578683783957382,5077828.403848197,8945000.0,2935030.3230150705,16957858.72686327,0.12935252274206754,5.820159643787564,39.678611039934985,10.97774819428634,38.409153938973105,40,10,0.1769181751418482,0.1311563603501675
7,6624702.023818002,9690000.0,1636.5643197083537,16316338.588137709,0.14099358220140557,5.8886416185267585,40.64998786159139,12.015685929430566,38.99381235563691,35,8,0.21935575163347779,0.14099358220137753,4090947.7381616887,8760000.0,3865112.133905317,16716059.872067004,0.12564464352411475,5.737749485975413,39.6942260736096,10.857906162323633,38.67148913906923,44,7,0.17762411865944683,0.12804821809064484,3889761.917656769,9245000.0,929482.228028216,14064244.145684984,0.1373262443261331,5.749417565604567,39.47682498187684,11.273672805628111,38.5043845024628,37,11,0.18591954155801932,0.1378290031159437,1965813.6317467142,9095000.0,2027132.3649428687,13087945.996689584,0.13287974489186974,5.710285552264314,38.056040182933216,11.139616503976923,37.56458677499658,32,12,0.11746134037921933,0.1342194895864658
8,4678367.065048067,9870000.0,1645.1128274723596,14550012.17787554,0.14099358220140562,5.732273907815289,39.61694238971773,11.977872578056392,38.44735062345576,37,13,0.19775205803466112,0.1409935822013788,4103290.302883979,8935000.0,3915062.015175732,16953352.318059713,0.12549633891625328,5.831237929291452,39.47226408767819,10.281347631627776,38.44644151195718,40,10,0.18902383202917053,0.1276661689506773,6411173.453801125,9600000.0,1576567.2296331883,17587740.683434315,0.134865986449997,5.760753058497028,40.905271651007865,11.94281482826341,39.30229757389697,68,7,0.24280953900765165,0.13562017639657004,3401589.789936962,9055000.0,2391179.7143927095,14847769.504329672,0.13146807097828067,5.667794653635207,38.35094157005828,11.197898291839893,37.500517787859245,54,11,0.13472208938004882,0.13301220218797172
9,3535081.166851423,9705000.0,1626.947248473847,13241708.114099897,0.14099358220140548,5.740595616139773,39.292715508752714,11.667594405228607,38.408945217039864,43,9,0.1659733300381258,0.1409935822013779,1561581.907872469,8725000.0,2592053.0270470483,12878634.934919517,0.1305384921649536,5.630070747560494,37.532877416489775,10.36052422468209,37.14248193952171,25,10,0.10779517162871936,0.13265395546805814,3386766.157616702,9095000.0,807371.1862057585,13289137.343822457,0.13775791651879152,5.7797636770667795,39.075686461441364,11.174251123909967,38.228994922037224,43,12,0.14832289929193143,0.13830481545988757,3486173.628127972,8945000.0,2983870.6792028667,15415044.30733084,0.12921494176649875,5.709841141922596,39.468271899415555,11.125373297787453,38.596728492383626,35,9,0.18010937359648493,0.13106300618055997
