2021-07-08_23-36-43,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 65, 'reps': 5000, 'fluctuation': 0.25, 'period': 7, 'warm_up': 0, 'run_length': 90}
2021-07-08_23-50-39,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 0, 'y_0': 0, 'reps': 500, 'fluctuation': 0.5, 'period': 1, 'warm_up': 2000, 'run_length': 2000}
2021-07-09_00-30-03,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 25, 'y_0': 65, 'reps': 5000, 'fluctuation': 0.25, 'period': 28, 'warm_up': 0, 'run_length': 90}
2021-07-09_01-13-10,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 25, 'reps': 5000, 'fluctuation': 0.25, 'period': 28, 'warm_up': 0, 'run_length': 90}
2021-07-09_01-39-06,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 0, 'y_0': 0, 'reps': 500, 'fluctuation': 0.5, 'period': 7, 'warm_up': 2000, 'run_length': 2000}
2021-07-09_01-56-13,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 65, 'reps': 5000, 'fluctuation': 0.25, 'period': 28, 'warm_up': 0, 'run_length': 90}
2021-07-09_02-55-30,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 25, 'y_0': 65, 'reps': 5000, 'fluctuation': 0.5, 'period': 1, 'warm_up': 0, 'run_length': 90}
2021-07-09_03-20-17,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 0, 'y_0': 0, 'reps': 500, 'fluctuation': 0.5, 'period': 28, 'warm_up': 2000, 'run_length': 2000}
2021-07-09_03-38-33,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 25, 'reps': 5000, 'fluctuation': 0.5, 'period': 1, 'warm_up': 0, 'run_length': 90}
2021-07-09_04-24-56,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 10*0.5*(0.2-p)', 'x_0': 65, 'y_0': 65, 'reps': 5000, 'fluctuation': 0.5, 'period': 1, 'warm_up': 0, 'run_length': 90}
