,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_congested_time,mean_p_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_congested_time,mean_p_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_congested_time,mean_p_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_congested_time,mean_p_time
0,51.33343563435481,175.0,7.677240717955268,234.01067635231007,0.1875962699401421,4.305193925520813,49.28336850586548,36.70997818322397,46.427159547793146,54,37,0.4247232819189568,0.18759626994013878,32.39022263298233,154.0,172.75406353743833,359.1442861704206,0.15877038543135066,3.9764843616784527,45.4332468333239,35.33970530881878,43.633790020380424,33,48,0.2519459347331688,0.16216860561185747,112.67717159300913,163.0,38.56423012306002,314.24140171606916,0.17657367847232386,4.5395875623376005,52.434991235984995,42.00624849835111,46.170589328623706,57,46,0.5359993800024502,0.17750739628627857,,,,,,,,,,,,,
1,35.55012927791886,164.0,7.407998809008941,206.9581280869278,0.18759626994014206,3.8245525787487527,43.20265220410715,36.83599743321103,41.22463693871877,73,46,0.17263626068240706,0.18759626994013917,230.04109725866084,134.0,355.715496967373,719.7565942260338,0.12919875664671096,4.908307099327853,59.5819076890467,27.41888719135484,46.792210181984096,61,23,0.5986957990802705,0.13245116294132814,3.8963457968641273,161.0,8.310041108383611,173.20638690524774,0.1874026835422551,3.665896137973589,43.33452880520107,36.060656264329566,43.118065149819735,44,34,0.0687907653502898,0.1874482684634161,,,,,,,,,,,,,
2,84.05759804088729,178.0,7.915712123022015,269.9733101639093,0.18759626994014217,4.297613944721514,50.1728068073082,40.07230763761744,45.50294024948112,50,44,0.4341812104957342,0.18759626994013875,31.957458000794027,140.0,170.4925142544619,342.44997225525594,0.1580101828481128,3.9969547071143237,45.32234569608972,26.39779761663892,43.54402561358729,52,28,0.26778074961729786,0.16148432300855373,162.66239344894026,177.0,40.34540514444083,380.00779859338115,0.17561165446548935,4.7217384295343106,56.079131940524775,34.47495223420659,47.036681051119075,57,42,0.5819510503731445,0.17587857509602273,,,,,,,,,,,,,
3,306.9912538409157,189.0,8.038794138540336,504.03004797945596,0.1875962699401422,5.278705815928897,64.86452743795631,44.241653569249955,47.80385073466339,88,55,0.6604699739305004,0.18759626994013895,26.286226955478142,147.0,176.28481335327473,349.57104030875286,0.15646101544328106,4.138315474839686,45.734949831727405,30.087936670566602,44.27222873060183,56,28,0.26953412269224636,0.16092696123401015,100.9715240296697,169.0,21.63593456068601,291.6074585903557,0.18160696758405237,4.321559702498441,52.0156022561299,36.05930428781995,46.406073143370485,43,51,0.5165767765378515,0.1824142151003961,,,,,,,,,,,,,
4,17.93163438315862,190.0,8.292650795546873,216.22428517870546,0.18759626994014228,3.680083141543214,45.070745075694504,40.73503268442433,44.073296603980026,52,45,0.21362076287051307,0.18759626994013906,6.816338968231,138.0,94.63871552397626,239.45505449220724,0.1716941778586995,3.7768425410126936,41.97316426312555,30.870941641767907,41.594478764890525,50,33,0.10877728772007486,0.1754887772902399,68.58272191813067,182.0,21.81121727246892,272.3939391905996,0.182344010393373,4.208651321997562,49.142006213911046,37.18209666697966,45.33185499623712,47,37,0.3611866438891705,0.18284380589130297,,,,,,,,,,,,,
5,28.38463185165889,169.0,7.900326871082225,205.28495872274112,0.18759626994014217,3.938148986509829,46.015434089708094,32.526180779652016,44.438510097949234,43,44,0.29371628162846214,0.18759626994013906,19.360257986595045,154.0,169.6232888959501,342.98354688254517,0.15863227716596243,3.8454870272947157,43.99567312125021,34.31842936108324,42.919828116210255,52,31,0.2555250464142584,0.1623009296287194,38.801494551710164,161.0,10.182111240482167,209.9836057921923,0.18620514211022374,4.083194372041394,47.509539722306435,33.85701100043117,45.3538426646174,52,39,0.30110339492423477,0.18641546770341802,,,,,,,,,,,,,
6,38.203298272224224,161.0,7.946482626901595,207.14978089912583,0.1875962699401422,4.001007213323632,47.03295361765253,33.46692905375685,44.91037982291651,54,42,0.3011210369606688,0.18759626994013878,202.37955269528322,144.0,286.2616734112355,632.6412261065187,0.13751597823698625,4.9039759245047065,57.112060409881174,33.10213953387184,45.83686376344602,80,25,0.5194114361965163,0.14064832179212441,80.7969918632353,169.0,25.794389380035643,275.5913812432709,0.18092471427571555,4.347374573424977,50.251140794001145,38.761609111452856,45.76241902382152,39,53,0.4318428152832019,0.1816936542808199,,,,,,,,,,,,,
7,46.438206181622824,196.0,8.161876154058657,250.6000823356815,0.18759626994014222,4.039464503960819,48.82432362701803,38.85527435556742,46.244423283594635,50,45,0.3967215908402982,0.18759626994013898,42.310525121561085,142.0,193.1848092156661,377.4953343372272,0.15410357849243864,4.112114410683143,47.113004396765895,31.023928740590957,44.75904273850206,71,36,0.29877679352289177,0.15818417207596977,61.78328823230071,178.0,28.62580564637553,268.40909387867623,0.18015707332685668,4.144493892450341,48.54960110828506,41.714089658868076,45.11276519163774,55,50,0.40062196348262125,0.1810582105874637,,,,,,,,,,,,,
8,84.47919919865838,167.0,8.069564642419916,259.54876384107826,0.18759626994014222,4.259504714490886,50.400160715913614,38.46171677854798,45.7068718715437,33,44,0.4624869672688532,0.1875962699401391,8.23703187246972,154.0,121.92332199681918,284.1603538692889,0.16731449885619573,3.791787076952555,43.6007164975864,39.46708184066272,43.14046065875391,62,45,0.1448254098437294,0.17053772905281778,46.7149762807842,182.0,14.482997166224962,243.19797344700916,0.1845820127728322,4.096871764280722,47.82878155364612,37.90629753414194,45.23324219646382,51,40,0.3363762481336116,0.18480863852395915,,,,,,,,,,,,,
9,45.52739030963238,156.0,7.854171115262855,209.38156142489524,0.18759626994014217,4.146491159384883,48.27152487837157,31.412713764896523,45.74153741113826,52,49,0.4090783359226297,0.18759626994013934,86.37204718234909,127.0,191.56941982611767,404.94146700846676,0.15375225655417904,4.316295700947145,47.2440035752333,25.969736289436735,42.44555650954721,41,30,0.33947048760000065,0.15669697673395164,64.6748343149227,172.0,21.220848283043896,257.8956825979666,0.18257940682130303,4.126247979339003,49.92069807396191,36.151586876443965,46.32765172313288,32,39,0.45418505004638265,0.18297318488938075,,,,,,,,,,,,,
