"2021-06-02_22-40-11,{'scale': 50, 'lambda': 9.8, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 00, 'y_0': 00, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-02_23-00-05,{'scale': 50, 'lambda': 9.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_23-25-03,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-02_23-44-09,{'scale': 50, 'lambda': 9.0, 'nu': 0.05, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 00, 'y_0': 00, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-02_23-59-27,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_00-24-46,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_00-51-43,{'scale': 50, 'lambda': 9.5, 'nu': 0.05, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 00, 'y_0': 00, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-03_00-52-23,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_01-18-02,{'scale': 50, 'lambda': 9.8, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_01-54-19,{'scale': 50, 'lambda': 9.8, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_02-07-27,{'scale': 50, 'lambda': 9.8, 'nu': 0.05, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 00, 'y_0': 00, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-03_02-19-01,{'scale': 50, 'lambda': 9.8, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_02-43-27,{'scale': 50, 'lambda': 9.8, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_03-10-15,{'scale': 50, 'lambda': 9.0, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_03-37-13,{'scale': 50, 'lambda': 9.0, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_04-04-09,{'scale': 50, 'lambda': 9.0, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_04-32-19,{'scale': 50, 'lambda': 9.0, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_04-58-54,{'scale': 50, 'lambda': 9.5, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_05-28-58,{'scale': 50, 'lambda': 9.5, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_05-55-41,{'scale': 50, 'lambda': 9.5, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_06-23-59,{'scale': 50, 'lambda': 9.5, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_06-49-24,{'scale': 50, 'lambda': 9.8, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_07-23-47,{'scale': 50, 'lambda': 9.8, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_07-47-36,{'scale': 50, 'lambda': 9.8, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-03_08-13-18,{'scale': 50, 'lambda': 9.8, 'nu': 0.05, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_16-01-35,{'scale': 50, 'lambda': 9.0, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_16-25-21,{'scale': 50, 'lambda': 9.0, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_16-29-12,{'scale': 50, 'lambda': 9.0, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-16_16-50-59,{'scale': 50, 'lambda': 9.0, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_17-24-09,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_17-38-57,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-16_17-49-38,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_18-15-43,{'scale': 50, 'lambda': 9.5, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_18-52-42,{'scale': 50, 'lambda': 9.8, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_19-09-30,{'scale': 50, 'lambda': 9.8, 'nu': 0.1, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-16_19-22-15,{'scale': 50, 'lambda': 9.8, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_19-49-35,{'scale': 50, 'lambda': 9.8, 'nu': 0.1, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_20-16-23,{'scale': 50, 'lambda': 9.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-16_20-26-11,{'scale': 50, 'lambda': 9.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_20-56-25,{'scale': 50, 'lambda': 9.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_21-30-10,{'scale': 50, 'lambda': 9.0, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_21-31-54,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.25, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 0, 'y_0': 0, 'reps': 200, 'fluctuation': 0, 'period': 30, 'warm_up': 2000, 'run_length': 2000}"
"2021-06-16_22-10-03,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 25, 'y_0': 65, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
"2021-06-16_22-40-02,{'scale': 50, 'lambda': 9.5, 'nu': 0.06666666666666667, 'mu': 0.25, 'h': 0.2, 'C': 'lambda p: 100*0.5*(0.2-p)**2', 'x_0': 65, 'y_0': 25, 'reps': 2000, 'fluctuation': 0, 'period': 30, 'warm_up': 0, 'run_length': 90}"
