,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time,h_cost,r_cost,C_cost,total_cost,mean_p,mean_wait,mean_queue,mean_orbit,mean_server,x_T,y_T,mean_p_time,mean_congested_time
0,14629.96184050044,4435.0,181.02287432357056,19245.98471482401,0.187596269940113,4.99198104959152,61.88161822236361,33.04395358273523,47.251656381863654,49,40,0.6110638733794803,0.18759626994013948,8094.731111157039,4418.0,245.4731225313275,12758.204233688366,0.18549670951463904,4.801489758255675,54.69407774297035,33.51448294945313,46.59931239194109,51,29,0.48250531313488876,0.18549670951464312,,,,,,,,,,,,,
1,6873.533508845472,4343.0,179.06125470124732,11395.59476354672,0.1875962699401086,4.562115427502845,53.121863749107504,32.622467340397925,46.247565374511474,91,44,0.4542838400667793,0.18759626994013887,13502.428824936982,4239.0,244.33725718285348,17985.766082119837,0.18549670951463706,4.826836837912288,60.36207586010585,31.4754731703691,46.85964703516886,40,31,0.5499453147598813,0.18549670951464556,,,,,,,,,,,,,
2,5967.78540288399,4302.0,179.34588186213344,10449.131284746123,0.18759626994010925,4.670671501378959,52.9576523529979,31.68660642050998,46.98936406366405,55,35,0.5243751027641744,0.18759626994014053,7394.556955861837,4396.0,245.84122704240704,12036.398182904244,0.18549670951463967,4.441553700572846,54.27129308399613,33.1991778709727,46.8767361281342,46,31,0.522877970526526,0.18549670951464498,,,,,,,,,,,,,
3,7089.174157131109,4243.0,180.12283708509284,11512.296994216202,0.187596269940111,4.673504068849705,53.85371872359344,31.947477978745486,46.76428154084881,59,33,0.5015827103469046,0.18759626994013995,8161.042654811511,4253.0,246.37760790140862,12660.42026271292,0.18549670951464062,4.5597788474881344,54.776712700005895,31.763925929225962,46.61567004519453,50,31,0.5118698388603209,0.18549670951464406,,,,,,,,,,,,,
4,7043.092773873002,4388.0,180.08437395524336,11611.177147828246,0.18759626994011092,4.5197995980088175,53.77267544168171,32.49854440054164,46.72930420463515,56,29,0.49044939977201385,0.18759626994013923,8702.712063957886,4322.0,243.86397995432264,13268.576043912211,0.18549670951463623,4.787531374080981,55.370692021369,33.18038716547915,46.66786186280179,52,32,0.5027221324135478,0.1854967095146439,,,,,,,,,,,,,
5,6464.896828380746,4420.0,179.16895146482585,11064.065779845572,0.18759626994010886,4.511155686370424,53.64176968619494,33.166080111931294,47.17580651465341,61,29,0.540063558114065,0.18759626994013792,5325.658818108538,4254.0,243.19087456263432,9822.849692671174,0.18549670951463507,4.577739494609544,51.836368166962245,31.810632028693032,46.510359969910176,56,36,0.4429119902752595,0.18549670951464395,,,,,,,,,,,,,
6,7089.647411173206,4342.0,180.46131262776822,11612.108723800975,0.18759626994011175,4.5808972016946035,54.0999819605667,32.51602191184081,47.01033454939356,44,37,0.522154864016179,0.18759626994013687,14064.229180414153,4390.0,248.8596840332592,18703.08886444741,0.18549670951464484,4.743815735936198,61.453770814946985,32.30904693351917,47.389541634533,42,37,0.5978680658301097,0.1854967095146425,,,,,,,,,,,,,
7,5789.11378575004,4385.0,178.68431602872246,10352.798101778762,0.18759626994010775,4.451516183512085,52.30394171070248,33.009759343582175,46.514500952821514,57,37,0.47662541867233427,0.1875962699401392,7555.818084449874,4479.0,247.27157599974464,12282.08966044962,0.18549670951464214,4.5829027139890135,54.27945312717948,33.448496093248956,46.72363504272938,49,27,0.4955943320889131,0.1854967095146429,,,,,,,,,,,,,
8,6184.21031467069,4304.0,178.7766275403612,10666.986942211051,0.18759626994010797,4.564172552777023,52.70911442636825,32.66548401921187,46.52411384551037,68,30,0.4591946554075566,0.18759626994013745,7015.420189624893,4435.0,249.1436503703777,11699.563839995271,0.1854967095146453,4.706704172434969,54.38437108498147,32.95257865283086,47.368950895356186,47,28,0.5692666230058033,0.18549670951464464,,,,,,,,,,,,,
9,11745.327818916512,4467.0,179.28434085437428,16391.612159770888,0.1875962699401091,4.729202839810214,58.00347508224215,32.88985751639762,46.25814726332527,43,26,0.45954399034353854,0.18759626994013917,8045.444575751806,4281.0,246.39864244489885,12572.843218196705,0.18549670951464065,4.629705315079563,54.92478526413313,32.67263130441872,46.87934068838138,49,29,0.5215466098905909,0.18549670951464253,,,,,,,,,,,,,
10,11965.906231721725,4353.0,179.96898456569494,16498.87521628742,0.18759626994011064,4.729164889054333,58.55013223013067,32.53183536727747,46.58406977805776,70,37,0.5062442581300509,0.18759626994013892,4543.969435247886,4251.0,241.87621559449312,9036.84565084238,0.18549670951463273,4.651117105637624,50.42126128035264,32.27786805905493,45.87689940330679,65,45,0.3812893134978462,0.1854967095146447,,,,,,,,,,,,,
11,13090.429977338788,4483.0,181.33827198833626,17754.768249327128,0.1875962699401137,4.866546883543234,60.413073528457225,33.40434356640937,47.32209187239645,72,27,0.5796012963073517,0.18759626994013925,7413.279696670301,4261.0,243.53794453022363,11917.817641200527,0.18549670951463568,4.645878766248128,54.09410368620207,32.500490047868645,46.680823989532264,46,33,0.5012635082379429,0.18549670951464325,,,,,,,,,,,,,
